Department Name,Phone
Main Operator,214-555-0100
Appointments,214-555-0101
Admissions,214-555-0102
Billing,214-555-0103
Cardiology,214-555-0104
Cardiothoracic Surgery,214-555-0105
Continuity of Care,214-555-0106
Dermatology,214-555-0107
Emergency Department,214-555-0108
Endocrinology,214-555-0109
Gastroenterology,214-555-0110
General Pediatrics,214-555-0111
Imaging and Radiology,214-555-0112
Laboratory Services,214-555-0113
Medical Records,214-555-0114
Neurology,214-555-0115
Oncology,214-555-0116
Orthopedics,214-555-0117
Patient Financial Services,214-555-0118
Pediatric Intensive Care Unit,214-555-0119
Pharmacy,214-555-0120
Pulmonology,214-555-0121
Rehabilitation Services,214-555-0122
Social Work,214-555-0123
Surgery Scheduling,214-555-0124
Transport Services,214-555-0125
Urgent Care,214-555-0126
Volunteer Services,214-555-0127
